codigoRPA,codigoSIA,nombre,nombrePantalla,codigoFamilia,familia,codigoMateria,materia,consejeria,consejeriaDIR3,estado,vigente,fechaAlta,fechaBaja
6505,204418,"Puesta en servicio de instalaciones industriales que no requieren autorización previa: instalaciones baja tensión(con proyecto y/o certificado dirección técnica), instalaciones térmicas de edificios (climatización, calefacción, ACS), instalaciones de productos petrolíferos líquidos, grúas torres, grúas móviles, instalaciones gas, instalaciones frigoríficas, instalaciones protección contra incendio, ascensores, instalaciones alta tensión, almacenamiento productos químicos, instalaciones de equipos a presión.","6505 - Puesta en servicio de instalaciones industriales que no requieren autorización previa: instalaciones baja tensión(con proyecto y/o certificado dirección técnica), instalaciones térmicas de edificios (climatización, calefacción, ACS), instalaciones de productos petrolíferos líquidos, grúas torres, grúas móviles, instalaciones gas, instalaciones frigoríficas, instalaciones protección contra incendio, ascensores, instalaciones alta tensión, almacenamiento productos químicos, instalaciones de equipos a presión.",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,16/12/2014,
6513,215668,Puesta en servicio de instalaciones de baja tensión que no precisan de proyecto ni certificado de dirección técnica (Sistema TECI).,6513 - Puesta en servicio de instalaciones de baja tensión que no precisan de proyecto ni certificado de dirección técnica (Sistema TECI).,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,04/12/2014,
7011,215650,"Apertura, Modificación o Cese de la Actividad Industrial de Lavado Interior o Desgasificación y Despresurización o Reparación o Alteración de Cisternas de Mercancías Peligrosas: Declaración Responsable","7011 - Apertura, Modificación o Cese de la Actividad Industrial de Lavado Interior o Desgasificación y Despresurización o Reparación o Alteración de Cisternas de Mercancías Peligrosas: Declaración Responsable",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,27/05/2015,
7012,215689,Habilitación Empresas de Servicios en la actividad industrial de Centro de Recarga de Gases: Declaración Responsable.,7012 - Habilitación Empresas de Servicios en la actividad industrial de Centro de Recarga de Gases: Declaración Responsable.,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,27/05/2015,
7013,215690,Habilitación Empresas de Servicios en las actividades de Centros de Recarga y Centros de Inspección de Botellas de Equipos Respiratorios Autónomos: Declaración Responsable.,7013 - Habilitación Empresas de Servicios en las actividades de Centros de Recarga y Centros de Inspección de Botellas de Equipos Respiratorios Autónomos: Declaración Responsable.,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,27/05/2015,
7442,204572,Subvenciones destinadas a la gestión de la Red de Voluntariado Digital en el territorio andaluz.,7442 - Subvenciones destinadas a la gestión de la Red de Voluntariado Digital en el territorio andaluz.,2,"Familia 2. Subvenciones, becas y premios",9,Investigacion y tecnologia,Consejería de Política Industrial y Energía,A01041433,A,True,31/07/2015,
7653,1161271,Emisión de informes en materia de contratación de bienes y servicios informáticos,7653 - Emisión de informes en materia de contratación de bienes y servicios informáticos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",1,Administracion publica,Consejería de Política Industrial y Energía,A01041433,A,True,06/10/2015,23/02/2017
8077,204613,Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en Comunidades Andaluzas (caes).,8077 - Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en Comunidades Andaluzas (caes).,2,"Familia 2. Subvenciones, becas y premios",9,Investigacion y tecnologia,Consejería de Política Industrial y Energía,A01041433,A,True,11/02/2016,
8078,204614,Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en zonas necesitadas de transformación social de Andalucía (CAPI Mantenimiento),8078 - Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en zonas necesitadas de transformación social de Andalucía (CAPI Mantenimiento),2,"Familia 2. Subvenciones, becas y premios",9,Investigacion y tecnologia,Consejería de Política Industrial y Energía,A01041433,A,True,11/02/2016,
8080,204615,Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en zonas necesitadas de transformación social de Andalucía (CAPI Apertura),8080 - Subvenciones destinadas a la dinamización de la Red de Centros de Acceso Público a Internet en zonas necesitadas de transformación social de Andalucía (CAPI Apertura),2,"Familia 2. Subvenciones, becas y premios",9,Investigacion y tecnologia,Consejería de Política Industrial y Energía,A01041433,A,True,11/02/2016,
8233,204639,"Habilitación Empresas de Servicios en Seguridad Industrial: Instaladora/Mantenedora y/o Reparadora de: Ascensores, Grúas Móviles Autopropulsadas, Frigorista, Grúas Torre, Gas, Baja Tensión, Líneas Alta Tensión, Centrales Eléctricas, Subestaciones y Centros Transformación, Instalaciones Térmicas Edificios, Instalaciones Contra Incendios, Equipos a Presión, Productos Petrolíferos Líquidos. (TRAMITADOR HAPR)","8233 - Habilitación Empresas de Servicios en Seguridad Industrial: Instaladora/Mantenedora y/o Reparadora de: Ascensores, Grúas Móviles Autopropulsadas, Frigorista, Grúas Torre, Gas, Baja Tensión, Líneas Alta Tensión, Centrales Eléctricas, Subestaciones y Centros Transformación, Instalaciones Térmicas Edificios, Instalaciones Contra Incendios, Equipos a Presión, Productos Petrolíferos Líquidos. (TRAMITADOR HAPR)",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,26/04/2016,
8283,204647,Inscripciones en el Registro Integrado Industrial de Andalucía (RIIA),8283 - Inscripciones en el Registro Integrado Industrial de Andalucía (RIIA),1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/05/2016,
9552,215768,Selección de entidades colaboradoras Orden de 23 de diciembre de 2016,9552 - Selección de entidades colaboradoras Orden de 23 de diciembre de 2016,2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,09/01/2017,
9588,215793,"Autorización administrativa previa para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica","9588 - Autorización administrativa previa para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,08/03/2017,
10089,215813,Subvención nominativa al Consorcio Fernando de los Ríos para sufragar los gastos de sostenimiento de la red de Acceso Público a Internet para el año 2019,10089 - Subvención nominativa al Consorcio Fernando de los Ríos para sufragar los gastos de sostenimiento de la red de Acceso Público a Internet para el año 2019,2,"Familia 2. Subvenciones, becas y premios",9,Investigacion y tecnologia,Consejería de Política Industrial y Energía,A01041433,A,True,14/03/2017,28/09/2017
10448,235806,"Certificación de personas que instalan, mantienen o revisan equipos o sistemas que contienen gases fluorados","10448 - Certificación de personas que instalan, mantienen o revisan equipos o sistemas que contienen gases fluorados",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/08/2017,
10449,235807,"Certificación de empresas que instalan, mantienen o revisan equipos o sistemas que contienen gases fluorados de efecto invernadero.","10449 - Certificación de empresas que instalan, mantienen o revisan equipos o sistemas que contienen gases fluorados de efecto invernadero.",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/08/2017,
10506,216221,Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea de incentivos Construcción Sostenible.,10506 - Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea de incentivos Construcción Sostenible.,2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,05/05/2017,
10538,223887,Registro de Empresas Acreditadas en la Plataforma MOAD (REAM),10538 - Registro de Empresas Acreditadas en la Plataforma MOAD (REAM),1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",1,Administracion publica,Consejería de Política Industrial y Energía,A01041433,A,True,29/06/2017,
10647,220324,Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea incentivos Pyme Sostenible.,10647 - Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea incentivos Pyme Sostenible.,2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,09/06/2017,
11714,235127,Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea incentivos Redes Inteligentes.,11714 - Incentivos para el desarrollo energético sostenible de Andalucía en el período 2017-2020. Línea incentivos Redes Inteligentes.,2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,03/08/2017,
11944,281320,"Autorización administrativa de construcción para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica","11944 - Autorización administrativa de construcción para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11954,281328,Autorización de explotación para instalaciones de producción de energía eléctrica  no incluidas las líneas de evacuación,11954 - Autorización de explotación para instalaciones de producción de energía eléctrica  no incluidas las líneas de evacuación,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11955,282382,"Autorización administrativa de transmisión para instalaciones de producción, distribución y transporte, líneas directas de energía eléctrica y líneas que vayan a ser cedidas a empresas de transporte o distribución","11955 - Autorización administrativa de transmisión para instalaciones de producción, distribución y transporte, líneas directas de energía eléctrica y líneas que vayan a ser cedidas a empresas de transporte o distribución",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
11963,281321,"Autorización administrativa de cierre para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica","11963 - Autorización administrativa de cierre para instalaciones de producción, distribución y transporte y líneas directas de energía eléctrica",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11966,281330,Informe de los planes de inversión de las empresas distribuidoras de energía eléctrica que operan en Andalucía,11966 - Informe de los planes de inversión de las empresas distribuidoras de energía eléctrica que operan en Andalucía,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11974,281331,Informe de los planes de inversión de las empresas de transporte de energía eléctrica que operan en Andalucía,11974 - Informe de los planes de inversión de las empresas de transporte de energía eléctrica que operan en Andalucía,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11981,281329,"Declaración en concreto de utilidad publica para instalaciones de producción, distribución y transporte de energía eléctrica","11981 - Declaración en concreto de utilidad publica para instalaciones de producción, distribución y transporte de energía eléctrica",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
11996,281324,"Autorización de explotación para instalaciones de distribución y transporte secundario, acometidas (<380kV), líneas directas de energía eléctrica e infraestructuras de evacuación","11996 - Autorización de explotación para instalaciones de distribución y transporte secundario, acometidas (<380kV), líneas directas de energía eléctrica e infraestructuras de evacuación",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/09/2017,
12002,282383,Procedimiento de Comunicación de Auditorías Energéticas al Registro Administrativo de Auditorías Energéticas (RAAE) perteneciente al Ministerio competente en materia de energía (actualmente MITECO),12002 - Procedimiento de Comunicación de Auditorías Energéticas al Registro Administrativo de Auditorías Energéticas (RAAE) perteneciente al Ministerio competente en materia de energía (actualmente MITECO),1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12022,282384,Reclamación por incidencia en suministro eléctrico,12022 - Reclamación por incidencia en suministro eléctrico,8,"Familia 8. Información, quejas, sugerencias y agradecimientos",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12025,282385,"Autorización administrativa previa de instalaciones de almacenamiento, transporte y distribución de gas canalizado","12025 - Autorización administrativa previa de instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12029,282386,Procedimiento de habilitación de proveedores de servicios energéticos (PSE). Comunicación al IDAE (MITECO) para incorporar al Listado de Proveedores de Servicios Energéticos (LPSE),12029 - Procedimiento de habilitación de proveedores de servicios energéticos (PSE). Comunicación al IDAE (MITECO) para incorporar al Listado de Proveedores de Servicios Energéticos (LPSE),1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12041,282387,"Autorización de explotación de instalaciones de almacenamiento, transporte y distribución de gas canalizado","12041 - Autorización de explotación de instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12042,282388,"Aprobación del proyecto de ejecución de instalaciones de almacenamiento, transporte y distribución de gas canalizado","12042 - Aprobación del proyecto de ejecución de instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12046,282389,"Autorización administrativa de cierre de instalaciones de almacenamiento, transporte y distribución de gas canalizado","12046 - Autorización administrativa de cierre de instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12059,282390,"Autorización administrativa de transmisión de instalaciones de almacenamiento, transporte y distribución de gas canalizado","12059 - Autorización administrativa de transmisión de instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12062,282391,"Declaración en concreto de utilidad publica para instalaciones de almacenamiento, transporte y distribución de gas canalizado","12062 - Declaración en concreto de utilidad publica para instalaciones de almacenamiento, transporte y distribución de gas canalizado",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12065,282392,Autorización administrativa para la construcción de instalaciones de transporte y almacenamiento de productos petrolíferos,12065 - Autorización administrativa para la construcción de instalaciones de transporte y almacenamiento de productos petrolíferos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,29/09/2017,
12068,1998456,Autorización de explotación de instalaciones de transporte y almacenamiento de productos petrolíferos,12068 - Autorización de explotación de instalaciones de transporte y almacenamiento de productos petrolíferos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,13/02/2019,
12083,1998457,Inscripciones en el Registro administrativo de instalaciones de producción de energía eléctrica,12083 - Inscripciones en el Registro administrativo de instalaciones de producción de energía eléctrica,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,13/02/2019,
12099,287495,Reclamación por discrepancia en el acceso y conexión a redes eléctricas,12099 - Reclamación por discrepancia en el acceso y conexión a redes eléctricas,8,"Familia 8. Información, quejas, sugerencias y agradecimientos",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,11/10/2017,
12446,687399,Catalogación de vehículos históricos,12446 - Catalogación de vehículos históricos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,12/01/2018,22/10/2024
12589,687369,"Habilitación profesional para ejercer la actividad de taller de reparación de vehículos automóviles, de sus equipos y componentes","12589 - Habilitación profesional para ejercer la actividad de taller de reparación de vehículos automóviles, de sus equipos y componentes",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,09/01/2018,
12679,687659,Asignación de contraseña ADR,12679 - Asignación de contraseña ADR,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,17/01/2018,
12682,687662,Asignación de contraseña ATP,12682 - Asignación de contraseña ATP,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,17/01/2018,
12700,687660,Concesión de certificado de conformidad ADR,12700 - Concesión de certificado de conformidad ADR,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,17/01/2018,
13031,687806,Comunicación de las actuaciones de los organismos de control,13031 - Comunicación de las actuaciones de los organismos de control,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,31/01/2018,
13037,687787,"Designación de organismos notificados, de control metrológico o autorizados de verificación metrológica","13037 - Designación de organismos notificados, de control metrológico o autorizados de verificación metrológica",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,30/01/2018,
13038,687807,Autorización de laboratorios de ensayo y contraste de objetos fabricados con metales preciosos,13038 - Autorización de laboratorios de ensayo y contraste de objetos fabricados con metales preciosos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,31/01/2018,
13041,687805,Comunicación de cambio de empresa conservadora de ascensores,13041 - Comunicación de cambio de empresa conservadora de ascensores,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,31/01/2018,
13063,687841,"Comunicación de la actividad de fabricación, importación, comercialización o cesión en arrendamiento de instrumentos sometidos a control metrológico, e inscripción en el Registro de Control Metrológico","13063 - Comunicación de la actividad de fabricación, importación, comercialización o cesión en arrendamiento de instrumentos sometidos a control metrológico, e inscripción en el Registro de Control Metrológico",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,06/02/2018,
13085,687818,Autorización para centros técnicos de tacógrafos,13085 - Autorización para centros técnicos de tacógrafos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,01/02/2018,
13092,687817,Autorización de entidades y talleres de dispositivos de limitación de velocidad,13092 - Autorización de entidades y talleres de dispositivos de limitación de velocidad,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,01/02/2018,
13102,687815,Autorización de verificadores de medidas eléctricas,13102 - Autorización de verificadores de medidas eléctricas,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,01/02/2018,
13103,687816,Autorización de uso para contador de medidas eléctricas,13103 - Autorización de uso para contador de medidas eléctricas,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,01/02/2018,
13152,687839,Solicitud de participación en exámenes para la habilitación profesional y la obtención de carnés de instaladores,13152 - Solicitud de participación en exámenes para la habilitación profesional y la obtención de carnés de instaladores,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,05/02/2018,
13168,687971,Declaración y registro de equipos e instalaciones de rayos X con fines de diagnóstico médico,13168 - Declaración y registro de equipos e instalaciones de rayos X con fines de diagnóstico médico,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,12/02/2018,
13278,688031,Solicitud de expedición de la habilitación profesional para gruistas (grúas torre y grúas móviles autopropulsadas).,13278 - Solicitud de expedición de la habilitación profesional para gruistas (grúas torre y grúas móviles autopropulsadas).,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,14/02/2018,
13357,715892,Declaración responsable para el acceso a la actividad de centro de formación de operadores de grúas torre y operadores de grúas móviles autopropulsadas.,13357 - Declaración responsable para el acceso a la actividad de centro de formación de operadores de grúas torre y operadores de grúas móviles autopropulsadas.,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,27/02/2018,
13558,750576,Habilitación de los Servicios Técnicos de Vehículos Históricos,13558 - Habilitación de los Servicios Técnicos de Vehículos Históricos,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,06/03/2018,
13777,786352,Certificación de operario cualificado para instalación y/o mantenimiento de instalaciones de protección contra incendios,13777 - Certificación de operario cualificado para instalación y/o mantenimiento de instalaciones de protección contra incendios,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,26/03/2018,
13778,786358,Notificación a presentar por el industrial afectado por el RD por el que se aprueban medidas de control de los riesgos inherentes a los accidentes graves en los que intervengan sustancias peligrosas,13778 - Notificación a presentar por el industrial afectado por el RD por el que se aprueban medidas de control de los riesgos inherentes a los accidentes graves en los que intervengan sustancias peligrosas,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,26/03/2018,
